"ID","DV"
447,27.7987189502057
720,37.0959861715756
72,30.7109766855484
377,34.0443281775052
513,39.4464492980786
368,40.7565883231602
35,36.0174640448482
388,39.8273841703658
88,42.9760593401153
176,28.9227856061249
142,38.6348406064248
733,48.3346226137262
399,NA
409,49.232056199069
450,47.6653253699555
196,57.5389353689758
256,31.6476314313971
17,NA
636,38.6493603827866
424,52.8461420591741
398,37.1622862886596
150,31.3741483019235
490,NA
315,16.1485510016709
220,39.2270865807611
358,25.8439654287169
206,21.710490199371
609,14.7237580468234
200,43.5262876156526
186,NA
178,NA
160,37.3694045141303
751,37.4129313288117
352,NA
246,23.9649169269808
230,32.1457497237295
97,34.6186031015713
651,50.6959351491568
364,28.3352777408689
416,23.7615240514562
574,33.2836718789009
494,31.2660373755722
708,NA
373,50.4820800513039
339,NA
590,27.088560789114
538,NA
764,45.9228189509893
690,24.2243539501102
567,26.1856471213501
128,20.4692127219794
338,39.5683317469836
682,34.1937829967507
500,9.72135152165499
402,39.7137621321019
735,30.1908353917048
380,34.7908297939459
137,35.5063655394524
592,NA
33,41.7036460581365
389,38.1923927566925
779,22.1348698877784
81,27.1872263491435
269,30.4162166437333
706,39.8212906632463
89,24.847764435244
679,NA
285,NA
458,29.4644669299469
199,33.4829426075549
335,NA
561,NA
580,NA
295,NA
299,31.7729548400995
248,32.5283164368585
758,30.7475506707774
526,52.9310945174114
288,37.0855515587159
746,23.1582767014768
639,24.6818935564782
697,41.8738030255094
83,NA
292,44.3732983503773
453,NA
79,NA
704,34.0609256924429
675,33.437040427119
487,NA
316,49.4239857726783
527,12.0163351465961
323,27.2541549371969
741,30.9778675720185
445,31.6344698793064
419,28.1412449672948
668,34.4563772082572
695,57.7885164392438
107,32.1675778545131
254,48.5526509638853
226,28.6211602622291
34,29.8935570400373
418,28.4840659967738
672,29.615414396696
752,NA
443,NA
37,NA
691,30.5589792423185
275,49.2330293660468
114,38.4161950372743
698,5.47589306587357
159,47.9362091387775
599,28.3510967283344
84,NA
619,NA
760,30.4930891297096
759,34.8011296437712
417,35.7900985102374
510,32.1475144423106
634,34.7738817410767
348,35.7525904119998
589,NA
350,37.5912647301904
60,NA
673,32.535703083871
452,22.9316017567687
456,32.7116187002972
188,45.6960283391053
701,NA
382,31.2769451019805
570,NA
313,31.079211671845
69,28.1401568316722
588,41.9779353798823
163,19.513637516079
363,25.4097536671661
750,NA
157,12.6355905394846
108,51.4631628420893
185,NA
235,20.4578775184029
396,44.3973895296354
652,40.9635044698851
270,30.9617422386889
211,24.7760803432844
10,22.438982729639
525,49.9723515502335
181,57.8565156040069
620,39.9665882459925
175,32.8811283589845
529,NA
725,32.4240311970671
164,49.0792512410999
502,38.3508112999487
67,29.5515316018136
237,NA
628,35.2296615359167
15,39.9290006443104
603,21.7759923452528
122,19.6411861000184
657,NA
393,28.5714559465024
536,33.3526844009116
448,39.8832385619384
94,47.7885679511944
375,NA
167,47.4941232613424
630,35.7754914065025
45,28.5824419337871
82,26.278719548663
433,44.7426785263073
308,43.174967446967
50,24.4966088191269
390,29.3661812049838
126,NA
203,54.9154776220067
540,42.0247303902646
119,26.7068652357249
712,52.8652117663774
553,28.3430869034739
38,NA
222,38.1671744174485
612,20.246272007353
227,46.3646543631841
507,32.7214791038766
600,NA
563,37.9217300182382
105,42.1825327249903
172,NA
667,52.3946206660371
461,49.2386608264221
54,48.313543137637
8,NA
158,NA
123,36.435018059114
489,39.1939134606756
722,18.7734145099297
376,18.2594964480873
208,25.6104243040838
530,28.9297520629022
102,33.4083689430961
484,39.5768667295718
187,45.568935282506
719,47.8921325621582
154,NA
430,35.4279699662058
183,17.2140596632191
112,NA
434,29.422290004738
533,25.6612122237811
650,27.9151423683892
59,NA
514,NA
431,48.7025733341219
232,40.6759369354772
49,NA
251,33.4087383245008
179,38.3097209328963
317,NA
86,29.8807733261545
138,29.8428641903889
162,34.6668130573096
236,25.5915049850004
51,NA
625,31.7477397062353
678,51.420779481599
432,NA
321,38.6075743693988
42,14.4278925607292
515,38.3349330231758
560,NA
332,13.6906196646104
1,NA
99,NA
658,NA
769,7.14407334849583
694,15.9015198224803
562,36.6902726554614
290,23.7307343523531
245,31.7036700157131
483,NA
71,28.977082703576
505,NA
476,38.3864803741068
498,37.3691749168986
231,NA
136,25.2242846893886
238,NA
411,52.2861007849318
286,32.7859006241924
467,20.1840779085597
466,43.7819970971336
77,8.37893831694695
253,34.9495239378823
28,NA
757,NA
767,40.6959277402938
542,44.2540171753392
11,28.121866046789
730,32.0785694036185
258,31.3886557774115
568,NA
161,24.1780787598244
728,35.1848827029313
39,29.2900522317692
297,32.259117274833
439,46.7273985057727
284,40.1446847604809
531,27.528685682261
747,46.8241637367746
381,NA
55,43.6364248936938
359,29.6968463610892
279,NA
280,37.1646908118988
655,45.7269555389121
242,25.6682521944422
635,24.6803136383151
681,34.9470055943697
5,44.5577350828527
457,50.2310228160996
583,48.1454330351699
671,33.839147456988
115,45.144787753239
763,26.4197776897421
488,NA
273,29.2021123253558
362,32.0031008094072
7,33.3924024775976
422,42.8656154050085
27,32.1283457887072
93,13.783671450549
173,48.4720200129943
103,36.5392584488457
66,25.3287939599733
442,41.0686863955363
551,33.1439276166432
